Code,Business Name,Business Type,Address,City,State,Owner/Manager Name,Phone,Email,Placement Type,Date Placed,Consent Signed,Endorsement Agreed,Logo Received,Logo On App,Date Logo Added,Scan Count,Signups,Status,Notes
GC-ORGFL-D1.01-1001,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1002,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1003,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1004,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1005,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1006,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1007,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1008,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1009,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1010,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1011,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1012,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1013,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1014,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1015,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1016,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1017,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1018,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1019,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1020,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1021,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1022,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1023,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1024,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1025,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1026,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1027,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1028,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1029,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1030,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1031,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1032,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1033,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1034,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1035,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1036,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1037,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1038,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1039,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1040,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1041,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1042,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1043,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1044,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1045,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1046,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1047,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1048,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1049,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
GC-ORGFL-D1.01-1050,,,,Orlando,FL,,,,,,,,,,,0,0,Active,
